Date,Open,High,Low,Close,Adj Close,Volume
2024-01-02,187.15,188.44,183.89,185.64,183.90,82488700
2024-01-03,184.22,185.88,183.43,184.25,182.53,58414500
2024-01-04,182.15,183.09,180.88,181.91,180.21,71983600
2024-01-05,181.99,182.76,180.17,181.18,179.48,62379700
2024-01-08,182.09,185.60,181.50,185.56,183.82,59144500
2024-01-09,183.92,185.15,182.73,185.14,183.41,42841800
2024-01-10,184.35,186.40,183.92,186.19,184.45,46792900
2024-01-11,186.54,187.05,183.62,185.59,183.85,49128400
2024-01-12,186.06,186.74,185.19,185.92,184.18,40477800
2024-01-16,182.16,184.26,180.93,183.63,181.91,65603000
2024-01-17,181.27,182.93,180.30,182.68,180.97,47317400
2024-01-18,186.09,189.14,185.83,188.63,186.87,78005800
2024-01-19,189.33,191.95,188.82,191.56,189.77,68903000
2024-01-22,192.30,195.33,192.26,193.89,192.08,60133900
2024-01-23,195.02,195.75,193.83,195.18,193.35,42355600
2024-01-24,195.42,196.38,194.34,194.50,192.68,53631300
2024-01-25,195.22,196.27,193.11,194.17,192.35,54822100
2024-01-26,194.27,194.76,191.94,192.42,190.62,44594000
2024-01-29,192.01,192.20,189.58,191.73,189.94,47145600
2024-01-30,190.94,191.80,187.47,188.04,186.28,55859400
2024-01-31,187.04,187.10,184.35,184.40,182.67,55467800
2024-02-01,183.99,186.95,183.82,186.86,185.11,64885400
2024-02-02,179.86,187.33,179.25,185.85,184.11,102551700
2024-02-05,188.15,189.25,185.84,187.68,185.92,69668800
2024-02-06,186.86,189.31,186.77,189.30,187.53,43490800
2024-02-07,190.64,191.05,188.61,189.41,187.64,53439000
2024-02-08,189.39,189.54,187.35,188.32,186.56,40962000
2024-02-09,188.65,189.99,188.00,188.85,187.32,45155200
2024-02-12,188.42,188.67,186.79,187.15,185.64,41781900
2024-02-13,185.77,186.21,183.51,185.04,183.54,56529500
2024-02-14,185.32,185.53,182.44,184.15,182.66,54630500
2024-02-15,183.55,184.49,181.35,183.86,182.37,65434500
2024-02-16,183.42,184.85,181.67,182.31,180.83,49752500
2024-02-20,181.79,182.43,180.00,181.56,180.09,53665600
2024-02-21,181.94,182.89,180.66,182.32,180.84,41371400
2024-02-22,183.48,184.96,182.46,184.37,182.88,52292200
2024-02-23,185.01,185.04,182.23,182.52,181.04,45119700
2024-02-26,182.24,182.76,180.65,181.16,179.69,40867400
2024-02-27,181.10,183.92,179.56,182.63,181.15,54318900
2024-02-28,182.51,183.12,180.13,181.42,179.95,48953900
2024-02-29,181.27,182.57,179.53,180.75,179.29,136682600
2024-03-01,179.55,180.53,177.38,179.66,178.21,73563100
2024-03-04,176.15,176.90,173.79,175.10,173.68,81510100
2024-03-05,170.76,172.04,169.62,170.12,168.74,95132400
2024-03-06,171.06,171.24,168.68,169.12,167.75,68587700
2024-03-07,169.15,170.73,168.49,169.00,167.63,71765100
2024-03-08,169.00,173.70,168.94,170.73,169.35,76267000
2024-03-11,172.94,174.38,172.05,172.75,171.35,60139500
2024-03-12,173.15,174.03,171.01,173.23,171.83,59825400
2024-03-13,172.77,173.19,170.76,171.13,169.75,52488700
2024-03-14,172.91,174.31,172.05,173.00,171.60,72913500
2024-03-15,171.17,172.62,170.29,172.62,171.22,121752700
2024-03-18,175.57,177.71,173.52,173.72,172.31,75604200
2024-03-19,174.34,176.61,173.03,176.08,174.66,55215200
2024-03-20,175.72,178.67,175.09,178.67,177.22,53423100
2024-03-21,177.05,177.49,170.84,171.37,169.98,106181300
2024-03-22,171.76,173.05,170.06,172.28,170.89,71160100
2024-03-25,170.57,171.94,169.45,170.85,169.47,54288300
2024-03-26,170.00,171.42,169.58,169.71,168.34,57388400
2024-03-27,170.41,173.60,170.11,173.31,171.91,60273300
2024-03-28,171.75,172.23,170.51,171.48,170.09,65672700
2024-04-01,171.19,171.25,169.48,170.03,168.65,46240500
2024-04-02,169.08,169.34,168.23,168.84,167.47,49329500
2024-04-03,168.79,170.68,168.58,169.65,168.28,47691700
2024-04-04,170.29,171.92,168.82,168.82,167.45,53704400
2024-04-05,169.59,170.39,168.95,169.58,168.21,42104800
2024-04-08,169.03,169.20,168.24,168.45,167.09,37425500
2024-04-09,168.70,170.08,168.35,169.67,168.30,42373800
2024-04-10,168.80,169.09,167.11,167.78,166.42,49709300
2024-04-11,168.34,175.46,168.16,175.04,173.62,91070300
